
#Namespace	Article	Revisions
0	Britney Spears discography	16034
4	Wikipedia:WikiProject Deletion sorting/Organizations	16030
0	Ireland	15966
0	Bitcoin	15926
0	Fascism	15923
3	User talk:Wehwalt	15913
3	User talk:Future Perfect at Sunrise	15887
2	User:Acad Ronin/sandbox	15875
0	Australia	15865
2	User:X!/Tally	15837
3	User talk:AnmaFinotera	15817
5	Wikipedia talk:AutoWikiBrowser/CheckPage	15815
0	Rey Mysterio	15762
0	Super Smash Bros. Brawl	15759
3	User talk:BrownHairedGirl	15735
0	Albania	15721
0	Rihanna	15680
0	Hyderabad	15659
0	Bob Dylan	15658
0	Diana, Princess of Wales	15645
0	Lost (TV series)	15600
0	Avatar: The Last Airbender	15578
0	Scientology	15545
0	Buddhism	15525
4	Wikipedia:WikiProject Pharmacology/Index	15524
3	User talk:Ritchie333	15516
2	User:Djln/sandbox	15486
4	Wikipedia:Requested articles/music	15484
2	User:Cyberbot I/AfD report	15461
0	Kurt Angle	15445
0	Lebanon	15437
0	Gaza War (2008–09)	15427
5	Wikipedia talk:WikiProject Aircraft	15396
3	User talk:Courcelles	15383
0	AC/DC	15377
10	Template:Did you know/Preparation area 4	15350
0	Serbia	15335
4	Wikipedia:WikiProject Deletion sorting/Authors	15328
0	Bangladesh	15322
0	Lonnie Mack	15306
0	Romania	15253
0	Netherlands	15231
0	Metallica	15224
0	Serena Williams	15219
0	Hinduism	15207
0	Portsmouth F.C.	15204
3	User talk:JohnCD	15198
0	Dominican Republic	15184
3	User talk:Dbachmann	15163
0	Democracy	15162
0	Andy Murray	15153
1	Talk:Libertarianism	15118
0	Heavy metal music	15078
0	Firefox	15077
3	User talk:Tony1	15067
0	Ottoman Empire	15057
1	Talk:United States and state terrorism	15045
0	Capitalism	15034
5	Wikipedia talk:Disambiguation	15013
0	Joseph Smith	14954
0	LeBron James	14952
4	Wikipedia:Requested articles/Applied arts and sciences	14948
4	Wikipedia:WikiProject Deletion sorting/Television	14892
0	John Kerry	14892
0	Sarah Palin	14881
0	Sonic the Hedgehog (character)	14832
0	Evolution	14820
0	Lady Gaga	14816
2	User:Stephencdickson/sandbox	14813
5	Wikipedia talk:Neutral point of view	14801
5	Wikipedia talk:Notability (fiction)	14797
0	Club América	14780
0	San Francisco	14774
4	Wikipedia:WikiProject Medicine/Discussions	14743
4	Wikipedia:WikiProject Football/New articles	14743
0	Brazil national football team	14722
0	France	14716
0	Hilary Duff	14714
3	User talk:Jim1138	14689
0	Spanish language	14681
0	List of Family Guy characters	14655
0	Liverpool F.C.	14648
0	Spain	14647
0	America's Next Top Model	14627
1	Talk:Transcendental Meditation	14617
1	Talk:Mass killings under communist regimes	14612
0	Cyril Northam	14610
3	User talk:Tony Sidaway	14605
0	Mexico	14597
0	John F. Kennedy	14593
2	User:Jamesyons/sandbox	14582
0	Chris Jericho	14570
0	Goku	14566
0	Rangers F.C.	14564
0	2007	14560
0	Carrie Underwood	14559
0	Organization XIII	14545
0	Heroes (U.S. TV series)	14542
0	Jordan	14530
2	User:SQL/ActiveAdmins	14503
0	Colombia	14486
0	U2	14483
0	Mexico national football team	14471
0	List of the oldest living people	14444
0	Grand Theft Auto IV	14435
0	John Lennon	14405
0	Neighbours	14392
0	The X Factor (UK TV series)	14370
0	SpongeBob SquarePants	14351
0	Intelligent design	14330
0	Fidel Castro	14313
4	Wikipedia:WikiProject Deletion sorting/Albums and songs	14309
0	PAOK FC	14306
0	24 (TV series)	14288
0	Home and Away	14284
0	List of Doctor Who episodes (2005–present)	14278
5	Wikipedia talk:WikiProject Plants	14269
0	The Church of Jesus Christ of Latter-day Saints	14249
0	England	14244
0	Ethiopia	14243
0	Shah Rukh Khan	14242
0	The Rolling Stones	14240
3	User talk:Binksternet	14231
4	Wikipedia:Village pump (assistance)	14228
0	Norway	14225
1	Talk:Russo-Georgian War	14219
0	Vladimir Putin	14202
0	Queen (band)	14197
0	Atheism	14182
0	Darth Vader	14167
0	Kerala	14164
0	Harry Potter and the Deathly Hallows	14158
0	Girls' Generation	14145
3	User talk:JzG	14124
0	Cat	14118
0	WWE SmackDown	14102
5	Wikipedia talk:WikiProject National Register of Historic Places	14099
0	Denmark	14097
0	Deaths in 2006	14077
0	Puerto Rico	14066
0	Freddie Mercury	14061
1	Talk:List of best-selling music artists	14051
0	Pope Benedict XVI	14040
0	Venezuela	14037
0	Osama bin Laden	14037
2	User:Dragons flight/RFA summary	14034
0	Islamic State of Iraq and the Levant	14034
3	User talk:Magioladitis	14032
4	Wikipedia:WikiProject India/Quiz	13999
0	Zinedine Zidane	13997
0	The Dark Knight (film)	13992
2	User:Jimbo Wales	13987
1	Talk:Israel and the apartheid analogy	13987
2	User:AnomieBOT/EDITREQTable	13973
0	List of SpongeBob SquarePants characters	13972
0	Impact Wrestling	13969
0	Cartoon Network	13962
3	User talk:Jytdog	13958
1	Talk:Christianity	13955
0	Socialism	13950
0	Batman	13948
0	Singapore	13941
0	Akatsuki (Naruto)	13931
0	Rihanna discography	13916
3	User talk:Flyer22 Reborn	13899
0	Beyoncé discography	13898
0	Friends	13877
0	Argentina	13859
5	Wikipedia talk:WikiProject College football	13851
0	List of ethnic slurs	13844
4	Wikipedia:WikiProject Deletion sorting/Film	13843
0	Spain national football team	13839
0	Green Day	13829
0	Korn	13824
5	Wikipedia talk:Arbitration/Requests	13822
0	Detroit	13799
0	PlayStation Portable	13794
4	Wikipedia:Good article nominations/Topic lists/History	13789
4	Wikipedia:Requested articles/music/Performers, bands and songwriters	13782
0	The Suite Life of Zack & Cody	13768
0	Lindsay Lohan	13766
3	User talk:J.delanoy	13752
0	Hong Kong	13728
0	2008	13727
9	MediaWiki talk:Spam-whitelist	13724
2	User:ST47/AfD	13712
0	Naruto Uzumaki	13696
0	Hugo Chávez	13688
0	Sunderland A.F.C.	13687
0	IPod	13677
0	List of films considered the worst	13669
0	Malaysia Airlines Flight 370	13653
0	Warriors (novel series)	13638
0	Windows Vista	13616
5	Wikipedia talk:Featured picture candidates	13616
0	Veganism	13606
0	List of best-selling video games	13582
1	Talk:Electronic cigarette	13581
2	User:DeltaQuad/UTRS Appeals	13576
0	2006 FIFA World Cup	13570
0	Iron Maiden	13563
2	User:AnomieBOT/OrphanReferenceFixer log	13562
3	User talk:I dream of horses	13556
4	Wikipedia:Bots/Requests for approval	13519
4	Wikipedia:Recent additions	13517
0	Maria Sharapova	13489
0	South Park	13488
2	User:HasteurBot/NRISref	13461
0	The Simpsons	13458
3	User talk:The ed17	13452
3	User talk:MBisanz	13451
4	Wikipedia:WikiProject Deletion sorting/Businesspeople	13439
0	Houston	13439
0	Circumcision	13428
0	CM Punk	13426
0	Premier League	13422
5	Wikipedia talk:WikiProject Elements	13418
0	Bill Gates	13417
0	North Korea	13388
0	Heathrow Airport	13386
0	Finland	13384
3	User talk:Beyond My Ken	13375
0	Rafael Nadal	13370
0	Jimi Hendrix	13366
1	Talk:Neuro-linguistic programming	13359
0	Russo-Georgian War	13350
0	Dubai	13347
5	Wikipedia talk:Twinkle	13320
0	Everton F.C.	13314
0	Spice Girls	13306
5	Wikipedia talk:WikiProject Physics	13303
3	User talk:Montanabw	13296
0	Pink (singer)	13294
2	User:VeblenBot/C/Requests for peer review	13281
0	Marilyn Monroe	13278
0	Virginia Tech shooting	13265
0	Jennifer Lopez	13265
0	Middle Ages	13259
4	Wikipedia:WikiProject Deletion sorting/Software	13247
0	Los Angeles	13216
0	RMS Titanic	13211
0	Assassination of John F. Kennedy	13200
0	Linux	13199
2	User:Jsmith006/Sandbox	13198
0	System of a Down	13195
0	Radiohead	13186
3	User talk:Ronhjones	13168
0	Iran national football team	13149
0	Toronto	13148
0	50 Cent	13136
0	Novak Djokovic	13134
0	War in Afghanistan (2001–present)	13130
2	User:Gilo1969/CSD log	13128
0	War of 1812	13115
10	Template:2009-2010 flu pandemic table	13112
0	Elizabeth II	13109
0	S.L. Benfica	13099
0	List of current champions in WWE	13090
0	Sydney	13086
1	Talk:Canada	13080
0	Cher	13080
0	Texas	13079
0	9/11 conspiracy theories	13065
5	Wikipedia talk:WikiProject Women in Red	13060
0	Cyprus	13040
4	Wikipedia:WikiProject Deletion sorting/Lists	13037
0	David Bowie	13019
3	User talk:Juliancolton	13008
10	Template:Template sandbox	12997
0	Randy Orton	12988
0	Libertarianism	12973
0	New Zealand	12958
0	Republican Party (United States)	12940
0	The Miz	12935
0	C.D. Guadalajara	12934
0	Nintendo	12933
0	William Shakespeare	12925
4	Wikipedia:WikiProject Cricket/Quiz	12910
0	John F. Kennedy International Airport	12908
0	Linkin Park	12907
0	Nicole Scherzinger	12906
3	User talk:Martinevans123	12902
0	Afghanistan	12897
0	Aston Villa F.C.	12894
0	Olympiacos F.C.	12889
4	Wikipedia:Good article nominations/Topic lists/Natural sciences	12885
0	List of WWE pay-per-view events	12883
0	Sasuke Uchiha	12876
0	Hulk Hogan	12875
0	Shakira	12867
3	User talk:Cyberpower678	12862
0	Indonesia	12857
0	Nirvana (band)	12847
0	Chicago Cubs	12839
1	Talk:Hillary Clinton	12835
0	Walmart	12832
